"","area","value","state","county","cbsa","rpp.in.100.dollars","name","ratio"
"1968","0035620",21.2,34,34027,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1969","0035620",21.2,34,34013,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1970","0035620",21.2,36,36027,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1971","0035620",21.2,34,34029,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1972","0035620",21.2,36,36047,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1973","0035620",21.2,34,34031,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1974","0035620",21.2,36,36103,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1975","0035620",21.2,36,36081,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1976","0035620",21.2,42,42103,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1977","0035620",21.2,34,34025,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"1978","0035620",21.2,34,34017,35620,81.76614881,"New York-Newark-Jersey City, NY-NJ-PA",3.85689381179245
"323","0015680",26.5,24,24037,15680,102.3541453,"California-Lexington Park, MD",3.86242057735849
"574","0021820",22.92,2,2090,21820,93.72071228,"Fairbanks, AK",4.08903631239092
"98","0011260",21.96,2,2170,11260,90.57971014,"Anchorage, AK",4.12475911384335
"99","0011260",21.96,2,2020,11260,90.57971014,"Anchorage, AK",4.12475911384335
"2432","0042660",22.27,53,53033,42660,93.37068161,"Seattle-Tacoma-Bellevue, WA",4.19266643960485
"2433","0042660",22.27,53,53061,42660,93.37068161,"Seattle-Tacoma-Bellevue, WA",4.19266643960485
"2434","0042660",22.27,53,53053,42660,93.37068161,"Seattle-Tacoma-Bellevue, WA",4.19266643960485
"2841","0046520",19.08,15,15003,46520,81.63265306,"Urban Honolulu, HI",4.2784409360587
"285","0014500",21.33,8,8013,14500,91.40767824,"Boulder, CO",4.28540451195499
