"RPI1 Real Personal Income 1/"
"Real per capita personal income (chained (2009) dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"18020","Columbus, IN (Metropolitan Statistical Area)",46307
"18140","Columbus, OH (Metropolitan Statistical Area)",44230
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",41309
"18700","Corvallis, OR (Metropolitan Statistical Area)",37051
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",43405
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",37321
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",45385
"19140","Dalton, GA (Metropolitan Statistical Area)",33631
"19180","Danville, IL (Metropolitan Statistical Area)",39746
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",38910
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",43971
"19380","Dayton, OH (Metropolitan Statistical Area)",41916
"19460","Decatur, AL (Metropolitan Statistical Area)",36375
"19500","Decatur, IL (Metropolitan Statistical Area)",44881
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",34796
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",47446
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",47344
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",42109
"20020","Dothan, AL (Metropolitan Statistical Area)",38857
"20100","Dover, DE (Metropolitan Statistical Area)",37229
"20220","Dubuque, IA (Metropolitan Statistical Area)",42747
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",40322
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",44255
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",33798
"20740","Eau Claire, WI (Metropolitan Statistical Area)",42050
"20940","El Centro, CA (Metropolitan Statistical Area)",32999
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",39544
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",37771
"21300","Elmira, NY (Metropolitan Statistical Area)",37801
