"married","rental","female","above75K","Age20s","BAplus","City"
18.18,80.18,48.67,8.96,39.32,60.31,"Atlanta"
35.54,70.93,47.68,8.77,27.78,39.49,"Phoenix"
15.69,82.98,46.51,5.83,35.95,40.6,"Cleveland"
34.31,80.01,48.37,10.68,25.83,50.35,"Miami"
22.98,83.19,50.89,9.38,42.07,63.11,"Los Angeles"
20.74,75.35,50.67,6.95,41.62,55.59,"Philadelphia"
15.01,86.74,50.99,9.12,48.45,73.35,"Boston"
26.01,82.88,49.45,14.78,42.14,67.51,"Seattle"
27.64,84.66,50.73,13.76,36.12,57.28,"New York"
35.4,81.67,47.56,11.73,31.77,48.22,"Houston"
25.83,84.64,49.72,9.93,38.43,51.79,"Dallas"
20.77,84.44,47.95,22.87,42.14,81.24,"San Francisco"
17.2,79.12,52.58,16.95,47.34,71.22,"Washington"
25.95,78.88,49.12,11,36.16,59.19,"Denver"
28.45,77.86,49.67,6.62,36.6,50.43,"Nashville"
